subject,p,scratch_auc,ssl_auc
subjA,10,0.5278640810140535,0.5334749586662993
subjA,20,0.5331053664921466,0.5384761642325709
subjA,40,0.5358283962524111,0.5425008611187655
subjA,60,0.5413054560484982,0.5519010057867182
subjA,100,0.5511866216588591,0.5718736222099752
subjB,10,0.5410653259726603,0.5230750871658643
subjB,20,0.538711328795174,0.5339217029165975
subjB,40,0.544233908904754,0.5577290525208921
subjB,60,0.5559345425867508,0.5743230809674028
subjB,100,0.5638164812662572,0.6543517211799215
