subject,p,scratch_auc,ssl_auc
subjA,10,0.5324908721410857,0.5165023077982915
subjA,20,0.5310843207495177,0.5274824331771838
subjA,40,0.540179112703224,0.531175943786167
subjA,60,0.5423679043813723,0.5406708115183245
subjA,100,0.5524839831909617,0.5472514811242767
subjB,10,0.5426912114671537,0.5325280867784603
subjB,20,0.5420288200785877,0.5396639271680779
subjB,40,0.5462906082240301,0.5491036097736455
subjB,60,0.5549205476230008,0.5631229592119099
subjB,100,0.5645319677347944,0.5744183753943218
