subject,p,scratch_auc,ssl_auc
subjA,10,0.5300310002755579,0.5344549118214383
subjA,20,0.5471731193166162,0.5413161339211904
subjA,40,0.5482136952328465,0.5624924221548635
subjA,60,0.5707223064205016,0.5838981124276661
subjA,100,0.609345894185726,0.6478179250482226
subjB,10,0.5475750940837899,0.5207427085062816
subjB,20,0.5413505174608446,0.5361492750013835
subjB,40,0.5600929077425425,0.5854142453926614
subjB,60,0.6052278764735182,0.6639987686092202
subjB,100,0.6957769522386408,0.7575609469256738
