subject,p,scratch_auc,ssl_auc
subjA,10,0.527821886194544,0.5324211215210802
subjA,20,0.5331119109947644,0.5350943786166988
subjA,40,0.5366533480297603,0.5487975337558556
subjA,60,0.5414914577018463,0.5570479126481125
subjA,100,0.5493651832460733,0.5627945026178011
subjB,10,0.5411251660302175,0.5178316453594554
subjB,20,0.5386049656870884,0.5218699845038464
subjB,40,0.5439357463058275,0.5532099175383253
subjB,60,0.5564222563506558,0.5663691958603132
subjB,100,0.5640807460291106,0.6315685704798274
