subject_id,p,channel_set,auc,f1,accuracy,precision,recall,fdr
subj_051,10,ch14,0.5502673753419918,0.2171628721541156,0.3303370786516854,0.1258883248730964,0.7898089171974523,0.0215596555234507
subj_051,20,ch14,0.5470475165724049,0.21328125,0.245692883895131,0.1215494211932324,0.8694267515923567,0.0180013856464978
subj_051,40,ch14,0.5631420793096363,0.2135393003180372,0.3516853932584269,0.1245363010068892,0.7484076433121019,0.0324003638319159
subj_051,60,ch14,0.5517488888648578,0.210455764075067,0.1176029962546816,0.1176029962546816,1.0,0.0086331989556282
subj_051,100,ch14,0.5385666627015453,0.210455764075067,0.1176029962546816,0.1176029962546816,1.0,0.0062543265048949
subj_052,10,ch14,0.5013217578822129,0.2096041531473069,0.1262553802008608,0.1172839506172839,0.9847560975609756,0.0004296972736525
subj_052,20,ch14,0.5171239837398374,0.2125813449023861,0.2187948350071736,0.1205906480721903,0.8963414634146342,0.0015416198239011
subj_052,40,ch14,0.5049542682926829,0.2105263157894736,0.1176470588235294,0.1176470588235294,1.0,0.0005648107791076
subj_052,60,ch14,0.5153492464802697,0.211212516297262,0.1319942611190817,0.1182481751824817,0.9878048780487804,7.077633600887384e-05
subj_052,100,ch14,0.5404979674796748,0.2119250425894378,0.1703730272596843,0.1192942079018028,0.948170731707317,0.0001312217001906
subj_053,10,ch14,0.5395969237956223,0.2074622916115374,0.1383774453394706,0.116320474777448,0.9584352078239609,0.0116628482950643
subj_053,20,ch14,0.4915960022417038,0.2105534105534105,0.1176639815880322,0.1176639815880322,1.0,8.575746813651164e-06
subj_053,40,ch14,0.5213173119005614,0.2105534105534105,0.1176639815880322,0.1176639815880322,1.0,0.0106783747101263
subj_053,60,ch14,0.5340002375632074,0.2105534105534105,0.1176639815880322,0.1176639815880322,1.0,0.0079282737079466
subj_053,100,ch14,0.5202395083557676,0.2111697693803834,0.1832566168009206,0.1191222570532915,0.9290953545232272,0.0095935873915065
subj_055,10,ch14,0.5302058913008465,0.2149362477231329,0.4116040955631399,0.1275675675675675,0.6820809248554913,0.0059160109264809
subj_055,20,ch14,0.5444257905474328,0.215510812826249,0.2819112627986348,0.1237157534246575,0.8352601156069365,0.0181231063659666
subj_055,40,ch14,0.5076817766960754,0.2057949479940564,0.2703071672354948,0.1180733162830349,0.8005780346820809,0.000260563591835
subj_055,60,ch14,0.5353906431754326,0.2112332112332112,0.1180887372013651,0.1180887372013651,1.0,0.0033897525399563
subj_055,100,ch14,0.56008406557025,0.2131350681536555,0.1331058020477815,0.1193615544760583,0.9942196531791908,0.0197422866911695
subj_056,10,ch14,0.4844178487101931,0.2098999188531241,0.1172559685705651,0.1172559685705651,1.0,0.0002483976715344
subj_056,20,ch14,0.4896055756925499,0.2098999188531241,0.1172559685705651,0.1172559685705651,1.0,0.0008121636063051
subj_056,40,ch14,0.5169025753784362,0.2087056788699913,0.170444242973708,0.1174943200259655,0.9329896907216496,1.1065724044241966e-05
subj_056,60,ch14,0.4851250454405884,0.208322001631765,0.1202780296161982,0.1164487686226816,0.9871134020618556,0.0020965771682562
subj_056,100,ch14,0.495431676766536,0.2120022434099831,0.1508008461770927,0.118942731277533,0.9742268041237112,0.0014070026289733
subj_057,10,ch14,0.4915746403273351,0.2109356014580801,0.1179027438196142,0.1179027438196142,1.0,0.0002018988909433
subj_057,20,ch14,0.4849297259859862,0.2077990054959434,0.1776691116544417,0.1172128727487452,0.9147465437788018,0.0025792518980073
subj_057,40,ch14,0.4988465070203051,0.2105521472392638,0.1260527030698179,0.1178247734138972,0.988479262672811,0.0003547535844615
subj_057,60,ch14,0.5052029594137942,0.2107098381070983,0.1390926378701439,0.1181234292097179,0.9746543778801844,0.0003035517015606
subj_057,100,ch14,0.5040654329625787,0.2098703888334995,0.1388209725618038,0.1176634991615427,0.9700460829493088,1.9474043148059374e-06
subj_058,10,ch14,0.4796875198798936,0.2104362703165098,0.1175908221797323,0.1175908221797323,1.0,0.0001141079259886
subj_058,20,ch14,0.4998101317235635,0.2104362703165098,0.1175908221797323,0.1175908221797323,1.0,2.503340091274223e-07
subj_058,40,ch14,0.5192202481793687,0.2104362703165098,0.1175908221797323,0.1175908221797323,1.0,4.90297643160511e-05
subj_058,60,ch14,0.5016652622286425,0.2103458130894541,0.1195028680688336,0.1175718849840255,0.997289972899729,0.0002796028391201
subj_058,100,ch14,0.5342501817939812,0.2106765629460462,0.1188655194391332,0.1177409061901723,1.0,0.0101188004135435
subj_059,10,ch14,0.4884498488248369,0.2059659090909091,0.1736881005173688,0.1160928742994395,0.9119496855345912,2.553136717976751e-06
subj_059,20,ch14,0.4897271999410048,0.2104208416833667,0.1263858093126385,0.1177130044843049,0.9905660377358492,6.878236101223525e-05
subj_059,40,ch14,0.4894559274359217,0.2106657833719774,0.1193643754619364,0.117734172528693,1.0,2.586493133180564e-05
subj_059,60,ch14,0.5149910980478914,0.2096393663633299,0.1334072431633407,0.1174027935069837,0.9779874213836478,0.0033378298502785
subj_059,100,ch14,0.5196231419150259,0.2104566512243547,0.1182557280118255,0.1176035502958579,1.0,0.0013009504518152
subj_060,10,ch14,0.5124873624104689,0.2105263157894736,0.1176470588235294,0.1176470588235294,1.0,3.110179657257077e-06
subj_060,20,ch14,0.5010814928731115,0.2105263157894736,0.1176470588235294,0.1176470588235294,1.0,0.0002102196708592
subj_060,40,ch14,0.536320788300796,0.2144234477439259,0.2168396770472895,0.1215566243987757,0.9084967320261438,0.0105688367921789
subj_060,60,ch14,0.5120651601235992,0.2110799438990182,0.1349480968858131,0.1182246661429693,0.9836601307189542,0.0004398002800001
subj_060,100,ch14,0.5492374727668845,0.2104173853052776,0.1199538638985005,0.1176243733127651,0.9967320261437908,0.0033247236750876
subj_061,10,ch14,0.4800788447450402,0.2099490795142969,0.1172866520787746,0.1172866520787746,1.0,0.0043851355388391
subj_061,20,ch14,0.5734905356706799,0.2200102092904543,0.3312910284463895,0.1274393849793021,0.8041044776119403,0.0114612325959862
subj_061,40,ch14,0.5727327510933187,0.2166666666666666,0.2595185995623632,0.1236786469344608,0.8731343283582089,0.0167716610572453
subj_061,60,ch14,0.5732292306440036,0.2099401938544029,0.161706783369803,0.1180153025736146,0.9496268656716418,0.0304488764996079
subj_061,100,ch14,0.5770174598006497,0.2107149970125473,0.1328227571115973,0.1179487179487179,0.9869402985074628,0.0180350427578159
subj_062,10,ch14,0.5017948396148697,0.2106803218727139,0.1177432542927228,0.1177432542927228,1.0,0.000320720022108
subj_062,20,ch14,0.5146756899392442,0.2106803218727139,0.1177432542927228,0.1177432542927228,1.0,0.0003702329209644
subj_062,40,ch14,0.5000949310060756,0.2106803218727139,0.1177432542927228,0.1177432542927228,1.0,0.0004682580038417
subj_062,60,ch14,0.5705273015137473,0.211847783444488,0.1786590351594439,0.1194161875276426,0.9375,0.0211097237980113
subj_062,100,ch14,0.5816302067243333,0.2106803218727139,0.1177432542927228,0.1177432542927228,1.0,0.0259799551560136
subj_063,10,ch14,0.5081922690215745,0.2108010439670748,0.117818671454219,0.117818671454219,1.0,0.0016853508724837
subj_063,20,ch14,0.5305905440273285,0.2087542087542087,0.1561938958707361,0.1173409037142181,0.9447619047619048,0.0054109335123941
subj_063,40,ch14,0.5422674467904689,0.2108010439670748,0.117818671454219,0.117818671454219,1.0,0.0098592154348538
subj_063,60,ch14,0.5283344841370788,0.2108010439670748,0.117818671454219,0.117818671454219,1.0,0.0050217464862374
subj_063,100,ch14,0.5433298203534784,0.2101245480112495,0.1175942549371633,0.1174489108466202,0.9961904761904762,0.0120592061034041
subj_064,10,ch14,0.5068088606453939,0.2100768573868488,0.3673050615595075,0.1231231231231231,0.7151162790697675,0.0004167292937811
subj_064,20,ch14,0.5038466738777717,0.2105263157894736,0.1176470588235294,0.1176470588235294,1.0,0.0003158434623966
subj_064,40,ch14,0.5104408914728682,0.2105588144489039,0.1255129958960328,0.1177892918825561,0.9912790697674418,0.001048682765355
subj_064,60,ch14,0.5146340364160809,0.2105263157894736,0.1176470588235294,0.1176470588235294,1.0,0.0001419540411533
subj_064,100,ch14,0.5246022624842257,0.2105907560453015,0.1179890560875513,0.1176873075607252,1.0,0.0002833248997111
subj_066,10,ch14,0.4629534069756578,0.2109996540989277,0.1179427687548337,0.1179427687548337,1.0,0.0038886318028372
subj_066,20,ch14,0.5574647300220639,0.2145804676753782,0.3375870069605568,0.1247334754797441,0.7672131147540984,0.0161572442231444
subj_066,40,ch14,0.5467849160204397,0.214096449390567,0.4265274555297757,0.1276864728192162,0.6622950819672131,0.009652110192423
subj_066,60,ch14,0.5550571003514421,0.2119503945885005,0.1890951276102088,0.1196943972835314,0.9245901639344264,0.0150017515411227
subj_066,100,ch14,0.5603179508556069,0.2122477383437717,0.1245166279969064,0.1187232386142467,1.0,0.0168139818439375
subj_067,10,ch14,0.4962370198608731,0.2108311613090066,0.1178374878601489,0.1178374878601489,1.0,0.0021090152688587
subj_067,20,ch14,0.4896264744429882,0.2108311613090066,0.1178374878601489,0.1178374878601489,1.0,0.0011393305579587
subj_067,40,ch14,0.5114870450650267,0.2078158133898818,0.1534477177079961,0.1167858358869594,0.9423076923076924,0.0003346321947056
