subject_id,group,p,scenario,channel_set,n_channels,channels,ft_strategy,seed,encoder_checkpoint,lr_encoder,lr_head,weight_decay,warmup_epochs,status,error,selected_threshold,val_f1_at_selected_threshold,n_calib,n_val,n_test,n_pos_calib,n_pos_val,n_pos_test,best_epoch,best_val_loss,stopped_epoch,auc,accuracy,f1,precision,recall,fdr,run_tag,history_path,predictions_path
subj_051,benchmark,0,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,,,error,"ValueError('Channel mismatch: X has C=7, mean=14, std=14')",,,,,,,,,,,,,,,,,,,,
subj_051,benchmark,10,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.05,0.21428571428571427,623.0,125.0,2670.0,74.0,15.0,314.0,1.0,0.7040794816017151,11.0,0.5024263839174679,0.11760299625468165,0.21045576407506703,0.11760299625468165,1.0,9.89805824141523e-07,ch7__benchmark__subj_051__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_051__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_051__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_051,benchmark,20,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.05,0.21428571428571427,1246.0,250.0,2670.0,148.0,30.0,314.0,1.0,0.6974858694076538,11.0,0.5576330388329567,0.11760299625468165,0.21045576407506703,0.11760299625468165,1.0,0.01260511847175323,ch7__benchmark__subj_051__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_051__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_051__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_051,benchmark,40,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.28500000000000003,0.21923937360178972,2492.0,499.0,2670.0,296.0,59.0,314.0,1.0,0.7567069541237398,11.0,0.5093959858553307,0.30337078651685395,0.20512820512820512,0.11846001974333663,0.7643312101910829,1.8502626371503042e-05,ch7__benchmark__subj_051__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_051__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_051__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_051,benchmark,60,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.335,0.21733821733821734,3738.0,748.0,2670.0,444.0,89.0,314.0,1.0,0.7265504448809088,11.0,0.5964849199225719,0.1400749063670412,0.2131596984235778,0.11943164362519201,0.9904458598726115,0.03723524894912167,ch7__benchmark__subj_051__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_051__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_051__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_051,benchmark,100,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.395,0.46153846153846156,6230.0,1246.0,2670.0,740.0,148.0,314.0,3.0,0.4964918786507357,13.0,0.7915972770430287,0.7441947565543071,0.3863432165318958,0.2690863579474343,0.6847133757961783,0.6798146499195196,ch7__benchmark__subj_051__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_051__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_051__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_052,benchmark,0,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,,,error,"ValueError('Channel mismatch: X has C=7, mean=14, std=14')",,,,,,,,,,,,,,,,,,,,
subj_052,benchmark,10,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.395,0.20833333333333334,650.0,130.0,2788.0,76.0,15.0,328.0,2.0,0.7001730313667884,12.0,0.5135930993456276,0.13880918220946914,0.21149425287356322,0.11851306588148694,0.9817073170731707,0.002269394080236296,ch7__benchmark__subj_052__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_052__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_052__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_052,benchmark,20,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.33,0.23696682464454977,1301.0,261.0,2788.0,152.0,30.0,328.0,2.0,0.6831075665594517,12.0,0.5276596272060282,0.49067431850789095,0.2031425364758698,0.12448418156808803,0.551829268292683,0.0030730110229218897,ch7__benchmark__subj_052__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_052__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_052__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_052,benchmark,40,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.05,0.20962199312714777,2603.0,521.0,2788.0,305.0,61.0,328.0,1.0,0.8189975938504122,11.0,0.5150809290105096,0.11764705882352941,0.21052631578947367,0.11764705882352941,1.0,0.000863030822349718,ch7__benchmark__subj_052__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_052__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_052__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
