p,strategy,n_subjects,same_as_scratch,missing_vs_scratch,extra_vs_scratch
0,full_ft,1,True,0,0
0,low_lr_encoder,1,True,0,0
0,partial_ft,1,True,0,0
0,scratch,1,True,0,0
0,warmup,1,True,0,0
10,full_ft,1,True,0,0
10,low_lr_encoder,1,True,0,0
10,partial_ft,1,True,0,0
10,scratch,1,True,0,0
10,warmup,1,True,0,0
20,full_ft,1,True,0,0
20,low_lr_encoder,1,True,0,0
20,partial_ft,1,True,0,0
20,scratch,1,True,0,0
20,warmup,1,True,0,0
40,full_ft,1,True,0,0
40,low_lr_encoder,1,True,0,0
40,partial_ft,1,True,0,0
40,scratch,1,True,0,0
40,warmup,1,True,0,0
60,full_ft,1,True,0,0
60,low_lr_encoder,1,True,0,0
60,partial_ft,1,True,0,0
60,scratch,1,True,0,0
60,warmup,1,True,0,0
100,full_ft,1,True,0,0
100,low_lr_encoder,1,True,0,0
100,partial_ft,1,True,0,0
100,scratch,1,True,0,0
100,warmup,1,True,0,0
