strategy,p,n_subjects,auc_mean_std,f1_mean_std,accuracy_mean_std
full_ft,0,1,0.5095 ± nan,0.2855 ± nan,0.1665 ± nan
full_ft,10,1,0.4978 ± nan,0.2855 ± nan,0.1665 ± nan
full_ft,20,1,0.5390 ± nan,0.2867 ± nan,0.1770 ± nan
full_ft,40,1,0.5143 ± nan,0.2852 ± nan,0.1676 ± nan
full_ft,60,1,0.6126 ± nan,0.2962 ± nan,0.2702 ± nan
full_ft,100,1,0.7441 ± nan,0.3683 ± nan,0.5234 ± nan
low_lr_encoder,0,1,0.5095 ± nan,0.2855 ± nan,0.1665 ± nan
low_lr_encoder,10,1,0.4993 ± nan,0.2855 ± nan,0.1665 ± nan
low_lr_encoder,20,1,0.5251 ± nan,0.2856 ± nan,0.1667 ± nan
low_lr_encoder,40,1,0.5112 ± nan,0.2855 ± nan,0.1665 ± nan
low_lr_encoder,60,1,0.5482 ± nan,0.2863 ± nan,0.1981 ± nan
low_lr_encoder,100,1,0.5538 ± nan,0.2853 ± nan,0.1678 ± nan
partial_ft,0,1,0.5095 ± nan,0.2855 ± nan,0.1665 ± nan
partial_ft,10,1,0.5051 ± nan,0.2857 ± nan,0.1674 ± nan
partial_ft,20,1,0.5244 ± nan,0.2855 ± nan,0.1665 ± nan
partial_ft,40,1,0.5087 ± nan,0.2855 ± nan,0.1665 ± nan
partial_ft,60,1,0.5735 ± nan,0.2922 ± nan,0.2421 ± nan
partial_ft,100,1,0.5793 ± nan,0.2914 ± nan,0.2382 ± nan
scratch,0,1,0.4827 ± nan,0.0000 ± nan,0.8335 ± nan
scratch,10,1,0.5348 ± nan,0.2810 ± nan,0.3753 ± nan
scratch,20,1,0.5385 ± nan,0.2855 ± nan,0.1665 ± nan
scratch,40,1,0.5437 ± nan,0.2892 ± nan,0.2482 ± nan
scratch,60,1,0.5490 ± nan,0.2874 ± nan,0.2991 ± nan
scratch,100,1,0.5610 ± nan,0.2862 ± nan,0.1716 ± nan
warmup,0,1,0.5095 ± nan,0.2855 ± nan,0.1665 ± nan
warmup,10,1,0.4983 ± nan,0.2819 ± nan,0.2320 ± nan
warmup,20,1,0.5270 ± nan,0.2860 ± nan,0.1696 ± nan
warmup,40,1,0.5347 ± nan,0.2855 ± nan,0.1665 ± nan
warmup,60,1,0.5555 ± nan,0.2863 ± nan,0.1805 ± nan
warmup,100,1,0.5649 ± nan,0.2889 ± nan,0.3236 ± nan
