subject_id,group,p,scenario,ft_strategy,seed,encoder_checkpoint,lr_encoder,lr_head,weight_decay,warmup_epochs,selected_threshold,val_f1_at_selected_threshold,n_calib,n_val,n_test,n_pos_calib,n_pos_val,n_pos_test,best_epoch,best_val_loss,stopped_epoch,auc,accuracy,f1,precision,recall,fdr,run_tag,history_path,predictions_path,status,error,ssl_epoch,ssl_checkpoint,run_part
subj_051,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.395,0.3683168316831683,6230,1246,2670,740,148,314,5,0.6435355030801476,15,0.7749964854606208,0.7385767790262172,0.3723021582733813,0.2593984962406015,0.6592356687898089,0.5642581236221511,benchmark__subj_051__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_052,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.385,0.4469525959367946,6506,1302,2788,762,152,328,5,0.5698852583010625,15,0.772275927027563,0.7657819225251076,0.3786869647954329,0.2752420470262794,0.6067073170731707,0.5537998737541153,benchmark__subj_052__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_053,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.05,0.2115702479338843,8113,1623,3476,959,192,409,1,0.6905211130924894,11,0.5259063474816307,0.1176639815880322,0.2105534105534105,0.1176639815880322,1.0,0.0029528706495656,benchmark__subj_053__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_055,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.4,0.4170771756978653,6838,1368,2930,809,162,346,5,0.4993723735474704,15,0.7806644714472342,0.7238907849829351,0.3714063714063714,0.2539851222104144,0.6907514450867052,0.6146652536018865,benchmark__subj_055__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_056,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.39,0.3191230207064555,7722,1545,3309,909,182,388,5,0.6166873904493634,15,0.6436346117873769,0.6086430945905107,0.2671194114318053,0.1711385061638868,0.6082474226804123,0.1030867969547473,benchmark__subj_056__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_057,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.4,0.268857356235997,8590,1718,3681,1012,202,434,5,0.6409333680644718,15,0.5758928127913892,0.4074979625101874,0.2213495180292752,0.1309674693705112,0.7142857142857143,0.0377204399658536,benchmark__subj_057__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_058,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.4,0.3142437591776799,7324,1465,3138,867,173,369,3,0.646164107485436,13,0.6730419344641261,0.6765455704270236,0.2897130860741777,0.1952830188679245,0.5609756097560976,0.2257388933702988,benchmark__subj_058__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_059,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.4,0.2140522875816993,6316,1264,2706,744,149,318,3,0.6894060773185536,13,0.5107034122393941,0.2317073170731707,0.2067913010301411,0.1176726009552757,0.8522012578616353,7.04185564531211e-05,benchmark__subj_059__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_060,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.4,0.4563492063492063,6072,1215,2601,718,144,306,4,0.4936362148312384,14,0.814159796089823,0.7204921184159938,0.3875315922493682,0.2610669693530079,0.7516339869281046,0.8221830669083352,benchmark__subj_060__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_061,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.4,0.2595870206489675,10666,2134,4570,1253,251,536,5,0.6616648029476656,15,0.6467452030871917,0.5236323851203502,0.2572500852951211,0.15741127348643,0.7033582089552238,0.1407579303560218,benchmark__subj_061__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_062,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.4,0.5580110497237569,5710,1142,2446,680,136,288,7,0.5292014634129045,17,0.8616517351457111,0.8409648405560098,0.5057179161372299,0.3987975951903807,0.6909722222222222,1.2550174967403476,benchmark__subj_062__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
